slug,社名,現行分類(18),新・大分類,新・中分類,横断タグ
kintetsu-group-hd,近鉄グループホールディングス,航空・運輸・物流,運輸・物流,鉄道,
meitetsu,名古屋鉄道,航空・運輸・物流,運輸・物流,鉄道,
odakyu,小田急電鉄,航空・運輸・物流,運輸・物流,鉄道,
seibu-hd,西武ホールディングス,航空・運輸・物流,運輸・物流,鉄道,
tobu,東武鉄道,航空・運輸・物流,運輸・物流,鉄道,
tokyu,東急,航空・運輸・物流,運輸・物流,鉄道,
nippon-express-hd,NIPPON EXPRESS ホールディングス（日本通運）,航空・運輸・物流,運輸・物流,陸運・物流,
seino-hd,セイノーホールディングス,航空・運輸・物流,運輸・物流,陸運・物流,
sg-hd,SGホールディングス（佐川急便）,航空・運輸・物流,運輸・物流,陸運・物流,
yamato-hd,ヤマトホールディングス,航空・運輸・物流,運輸・物流,陸運・物流,
acom,アコム,銀行・証券・保険,金融,リース・クレジット・その他金融,
bitflyer,bitFlyer,その他（外資・新興等）,金融,リース・クレジット・その他金融,スタートアップ・新興
credit-saison,クレディセゾン,銀行・証券・保険,金融,リース・クレジット・その他金融,
mitsubishi-hc,三菱HCキャピタル,銀行・証券・保険,金融,リース・クレジット・その他金融,
orico,オリエントコーポレーション（オリコ）,銀行・証券・保険,金融,リース・クレジット・その他金融,
orix,オリックス,銀行・証券・保険,金融,リース・クレジット・その他金融,
tokyo-century,東京センチュリー,銀行・証券・保険,金融,リース・クレジット・その他金融,
aioi-nissay,あいおいニッセイ同和損害保険,銀行・証券・保険,金融,生保・損保,
daiichi-life,第一生命保険,銀行・証券・保険,金融,生保・損保,
kampo,かんぽ生命保険,銀行・証券・保険,金融,生保・損保,
meiji-yasuda,明治安田生命保険,銀行・証券・保険,金融,生保・損保,
ms-ad,三井住友海上火災保険,銀行・証券・保険,金融,生保・損保,
nippon-life,日本生命保険,銀行・証券・保険,金融,生保・損保,
sompo,損害保険ジャパン,銀行・証券・保険,金融,生保・損保,
sumitomo-life,住友生命保険,銀行・証券・保険,金融,生保・損保,
taiyo-life,太陽生命保険,銀行・証券・保険,金融,生保・損保,
tokio-marine,東京海上日動火災保険,銀行・証券・保険,金融,生保・損保,
daiwa,大和証券,銀行・証券・保険,金融,証券・投資,
jpx,日本取引所グループ（JPX）,銀行・証券・保険,金融,証券・投資,
mizuho-sec,みずほ証券,銀行・証券・保険,金融,証券・投資,
mufg-ms,三菱UFJモルガン・スタンレー証券,銀行・証券・保険,金融,証券・投資,
nomura,野村證券,銀行・証券・保険,金融,証券・投資,
sbi-sec,SBI証券,銀行・証券・保険,金融,証券・投資,
smbc-nikko,SMBC日興証券,銀行・証券・保険,金融,証券・投資,
chibagin,千葉銀行,銀行・証券・保険,金融,銀行,
dbj,日本政策投資銀行（DBJ）,銀行・証券・保険,金融,銀行,
hamagin,横浜銀行,銀行・証券・保険,金融,銀行,
jbic,国際協力銀行（JBIC）,銀行・証券・保険,金融,銀行,
mizuho-fg,みずほフィナンシャルグループ,銀行・証券・保険,金融,銀行,
mufg,三菱UFJ銀行,銀行・証券・保険,金融,銀行,
mufg-trust,三菱UFJ信託銀行,銀行・証券・保険,金融,銀行,
norinchukin,農林中央金庫,銀行・証券・保険,金融,銀行,
paypay-bank,PayPay銀行,銀行・証券・保険,金融,銀行,
rakuten-bank,楽天銀行,銀行・証券・保険,金融,銀行,
resona,りそな銀行,銀行・証券・保険,金融,銀行,
shizuokagin,静岡銀行,銀行・証券・保険,金融,銀行,
shoko-chukin,商工組合中央金庫（商工中金）,銀行・証券・保険,金融,銀行,
smbc-bank,三井住友銀行,銀行・証券・保険,金融,銀行,
smtb,三井住友信託銀行,銀行・証券・保険,金融,銀行,
sumishin-sbi-net,住信SBIネット銀行,銀行・証券・保険,金融,銀行,
yucho,ゆうちょ銀行,銀行・証券・保険,金融,銀行,
advantest,アドバンテスト,電機・精密・重工,電機・機械・重工,半導体・半導体製造装置,
jasm,JASM（TSMC日本子会社）,電機・精密・重工,電機・機械・重工,半導体・半導体製造装置,外資系
rapidus,Rapidus（ラピダス）,電機・精密・重工,電機・機械・重工,半導体・半導体製造装置,スタートアップ・新興
socionext,ソシオネクスト,電機・精密・重工,電機・機械・重工,半導体・半導体製造装置,スタートアップ・新興
tokyo-electron,東京エレクトロン,電機・精密・重工,電機・機械・重工,半導体・半導体製造装置,
canon,キヤノン,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
fujifilm-hd,富士フイルムホールディングス,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
hoya,HOYA,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
keyence,キーエンス,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
nikon,ニコン,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
omron,オムロン,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
ricoh,リコー,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
seiko-epson,セイコーエプソン,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
shimadzu,島津製作所,電機・精密・重工,電機・機械・重工,精密・光学・計測機器,
hitachi,日立製作所,電機・精密・重工,電機・機械・重工,総合電機（コングロマリット）,
mitsubishi-electric,三菱電機,電機・精密・重工,電機・機械・重工,総合電機（コングロマリット）,
panasonic-hd,パナソニック ホールディングス,電機・精密・重工,電機・機械・重工,総合電機（コングロマリット）,
sony-group,ソニーグループ,電機・精密・重工,電機・機械・重工,総合電機（コングロマリット）,
daikin,ダイキン工業,電機・精密・重工,電機・機械・重工,重工・産業機械・プラント,
fanuc,ファナック,電機・精密・重工,電機・機械・重工,重工・産業機械・プラント,
ihi,IHI,電機・精密・重工,電機・機械・重工,重工・産業機械・プラント,
kawasaki-heavy,川崎重工業,電機・精密・重工,電機・機械・重工,重工・産業機械・プラント,
komatsu,コマツ（小松製作所）,電機・精密・重工,電機・機械・重工,重工・産業機械・プラント,
kubota,クボタ,電機・精密・重工,電機・機械・重工,重工・産業機械・プラント,
mitsubishi-heavy,三菱重工業,電機・精密・重工,電機・機械・重工,重工・産業機械・プラント,
yaskawa,安川電機,電機・精密・重工,電機・機械・重工,重工・産業機械・プラント,
kyocera,京セラ,電機・精密・重工,電機・機械・重工,電子部品・デバイス,
murata,村田製作所,電機・精密・重工,電機・機械・重工,電子部品・デバイス,
nidec,ニデック,電機・精密・重工,電機・機械・重工,電子部品・デバイス,
renesas,ルネサスエレクトロニクス,電機・精密・重工,電機・機械・重工,電子部品・デバイス,
tdk,TDK,電機・精密・重工,電機・機械・重工,電子部品・デバイス,
